N,threads,T1_ms,Tp_ms,speedup,efficiency
200,1,46.6735,44.4602,1.0498,1.0498
200,2,46.6735,131.5483,0.3548,0.1774
200,4,46.6735,157.8569,0.2957,0.0739
200,8,46.6735,232.0178,0.2012,0.0251
200,16,46.6735,408.9614,0.1141,0.0071
1000,1,720.1934,716.3006,1.0054,1.0054
1000,2,720.1934,514.9505,1.3986,0.6993
1000,4,720.1934,358.9006,2.0067,0.5017
1000,8,720.1934,431.7378,1.6681,0.2085
1000,16,720.1934,558.1735,1.2903,0.0806
5000,1,19930.6679,18058.1074,1.1037,1.1037
5000,2,19930.6679,9925.2052,2.0081,1.0040
5000,4,19930.6679,6554.0422,3.0410,0.7602
5000,8,19930.6679,4845.8179,4.1130,0.5141
5000,16,19930.6679,3947.3630,5.0491,0.3156
